"date","time","location","bytes","request_ip","method","host","uri","status","referrer","user_agent","query_string","cookie","result_type","request_id","host_header","request_protocol","request_bytes","time_taken","xforwarded_for","ssl_protocol","ssl_cipher","response_result_type","http_version","fle_status","fle_encrypted_fields","c_port","time_to_first_byte","x_edge_detailed_result_type","sc_content_type","sc_content_len","sc_range_start","sc_range_end"
"2022-02-04","18:38:11","LAX50-C1","2000","168.119.212.143","GET","d1wndwkcgt1a74.cloudfront.net","/apple-touch-icon.png","200","https://psolar.mx/","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/89.0.4389.90%20Safari/537.36","-","-","RefreshHit","DxU2dursUCfbbDeb6Fm6_N8SQObagtg46rtoh_UQIWD9SMdVbKGDsg==","psolar.mx","https","400","0.2","-","TLSv1.3","TLS_AES_128_GCM_SHA256","RefreshHit","HTTP/1.1","-",,"53114","0.2","RefreshHit","image/png","1564",,
"2022-02-03","14:55:59","PHX50-C1","580","130.255.166.69","GET","d1wndwkcgt1a74.cloudfront.net","/robots.txt","301","-","Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_13_6)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/91.0.4472.114%20Safari/537.36","-","-","Redirect","EPazM4H-Y109bfJwtsGkCiK9bFraO8fx6AMv7G9UcbKix4xe8YOYYw==","psolar.mx","http","291","0.0","-","-","-","Redirect","HTTP/1.1","-",,"55617","0.0","Redirect","text/html","183",,
"2022-02-03","11:15:32","LAX50-C1","19768","34.219.232.194","GET","d1wndwkcgt1a74.cloudfront.net","/","200","http://psolar.mx","Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/83.0.4103.97%20Safari/537.36","-","-","Hit","il3cJGEfj1ye0l0CzhVttuxoQ795qyanR4Y1RXS_ELlRn5dIO0vGkg==","psolar.mx","https","203","0.002","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"12400","0.002","Hit","text/html","19326",,
"2022-02-02","07:06:25","LAX3-C3","574","18.225.35.178","GET","d1wndwkcgt1a74.cloudfront.net","/","301","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/85.0.4183.102%20Safari/537.36","-","-","Redirect","u4HX42jZ_UqlWu72iFSIAHcKiEv1nHlrGJZGVGoSy2Ia0DxrW1rHFA==","psolar.mx","http","233","0.0","-","-","-","Redirect","HTTP/1.1","-",,"63746","0.0","Redirect","text/html","183",,
"2022-02-02","07:06:31","LAX3-C3","574","18.225.35.178","GET","d1wndwkcgt1a74.cloudfront.net","/","301","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/85.0.4183.102%20Safari/537.36","-","-","Redirect","Ij7al4FN9CWErST7_mSmccxIlEhfrC5OgK-85WfTV6Y-N07rgHnsjw==","psolar.mx","http","233","0.0","-","-","-","Redirect","HTTP/1.1","-",,"63241","0.0","Redirect","text/html","183",,
"2022-02-02","07:06:56","LAX3-C3","19764","18.225.35.178","GET","d1wndwkcgt1a74.cloudfront.net","/","200","-","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/85.0.4183.102%20Safari/537.36","-","-","Hit","ZxIsw33vHj8P26e2ylL0vUqbK4i3PfrepX-xWmNhGmDS5aZabaDTtg==","psolar.mx","https","233","0.002","-","TLSv1.3","TLS_AES_128_GCM_SHA256","Hit","HTTP/1.1","-",,"59694","0.001","Hit","text/html","19326",,
"2022-02-03","09:59:30","LAX3-C3","574","185.119.81.108","GET","d1wndwkcgt1a74.cloudfront.net","/","301","http://panel-solar-monterrey.com/","Mozilla/5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/74.0.3729.169%20Safari/537.36","-","-","Redirect","6L8iTLPsrjEK8EuWXx-CgK7snORfqpufpFPd1wfeeKrHGRfcUeBqgA==","psolar.mx","http","361","0.0","-","-","-","Redirect","HTTP/1.1","-",,"60490","0.0","Redirect","text/html","183",,
"2022-02-03","11:09:02","LAX3-C3","574","35.89.34.137","GET","d1wndwkcgt1a74.cloudfront.net","/","301","-","Mozilla/5.0%20(X11;%20Linux%20x86_64)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/83.0.4103.97%20Safari/537.36","-","-","Redirect","zYXysqh7pYlqSQ_5aVcHpOixmoM9F59WTqq3yE0OTeXvgC6FY94PPg==","psolar.mx","http","176","0.0","-","-","-","Redirect","HTTP/1.1","-",,"40749","0.0","Redirect","text/html","183",,
"2022-02-02","14:43:47","LAX3-C3","18110","66.249.75.245","GET","d1wndwkcgt1a74.cloudfront.net","/tailwind.css","200","https://psolar.mx/style.css","Mozilla/5.0%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko;%20compatible;%20Googlebot/2.1;%20+http://www.google.com/bot.html)%20Chrome/97.0.4692.71%20Safari/537.36","-","-","RefreshHit","oC-W3A0srBqN7cA1bjAbjgRte3e585qoOPjK6FJ7y6wZzxwWkTgv_A==","psolar.mx","https","389","0.14","-","TLSv1.3","TLS_AES_128_GCM_SHA256","RefreshHit","HTTP/1.1","-",,"59515","0.14","RefreshHit","text/css","17675",,
"2022-02-03","19:04:55","LAX3-C3","19656","75.119.138.152","GET","d1wndwkcgt1a74.cloudfront.net","/","200","http://psolar.mx","Mozilla/5.0%20(Linux;%20Android%205.1.1;%20SM-J111F)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/73.0.3683.90%20Mobile%20Safari/537.36","-","-","Hit","tQN9ZVMUnq__qsxIKzYy997UqqShfDA6d3qhYmFFAFc8rhEoVSzSNA==","psolar.mx","https","16","0.003","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/2.0","-",,"58580","0.003","Hit","text/html","19326",,
"2022-02-03","19:04:57","LAX3-C3","19645","75.119.138.152","GET","d1wndwkcgt1a74.cloudfront.net","/","200","http://psolar.mx","Mozilla/5.0%20(Linux;%20Android%205.1.1;%20SM-J111F)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/73.0.3683.90%20Mobile%20Safari/537.36","-","-","Hit","oyoesi_kbPWF_j0YqdaxYjqVfuY35Occeq-Ibqhf5eSTGpu-swbzkg==","psolar.mx","https","16","0.0","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/2.0","-",,"58580","0.0","Hit","text/html","19326",,
"2022-02-03","19:04:57","LAX3-C3","574","75.119.138.152","GET","d1wndwkcgt1a74.cloudfront.net","/","301","http://panel-solar-monterrey.com/new/","Mozilla/5.0%20(Linux;%20Android%205.1.1;%20SM-J111F)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/73.0.3683.90%20Mobile%20Safari/537.36","-","-","Redirect","17vECOFJEwFnwbtK4f8ngbbvHgjXE-vpKabhnUI48_FxTR1KX3_K_A==","psolar.mx","http","244","0.0","-","-","-","Redirect","HTTP/1.1","-",,"48158","0.0","Redirect","text/html","183",,
"2022-02-03","19:05:02","LAX3-C3","19647","75.119.138.152","GET","d1wndwkcgt1a74.cloudfront.net","/","200","http://psolar.mx","Mozilla/5.0%20(Linux;%20Android%205.1.1;%20SM-J111F)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/73.0.3683.90%20Mobile%20Safari/537.36","-","-","Hit","NPa-hU8D603YXCdiA-VNYRzeuKgWrMDJdkHV9tEM8VoXQykr5d9U5Q==","psolar.mx","https","16","0.0","-","TLSv1.2","ECDHE-RSA-AES128-GCM-SHA256","Hit","HTTP/2.0","-",,"58580","0.0","Hit","text/html","19326",,
"2022-02-03","19:05:24","LAX3-C3","574","75.119.138.152","GET","d1wndwkcgt1a74.cloudfront.net","/","301","http://panel-solar-monterrey.com/2020/","Mozilla/5.0%20(Linux;%20Android%205.1.1;%20SM-J111F)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/73.0.3683.90%20Mobile%20Safari/537.36","-","-","Redirect","kXKPu0l2TwyhKX2SOAdz7W3gZStZma8mY9qmw5yk3y1rt3iMV_xCNQ==","psolar.mx","http","245","0.0","-","-","-","Redirect","HTTP/1.1","-",,"34082","0.0","Redirect","text/html","183",,
