,,dac,dac,1c,1c,1c,1c,1c,1c,1c,1c,1e,1e,1e,1e,1e,1e,1e,1e,PDBT,PDBT,,,,,
,,fijo,var,dac,b,b,i1,i1,i2,i2,i3,dac,b,b,i1,i1,i2,i2,i3,fijo,var,,,,,
,,p,p,lim,p,s,p,s,p,s,p,lim,p,s,p,s,p,s,p,p,p,,,,,
mes,días,dacfijop,dacvarp,1cdaclim,1cbp,1cbs,1ci1p,1ci1s,1ci2p,1ci2s,1ci3p,1edaclim,1ebp,1ebs,1ei1p,1ei1s,1ei2p,1ei2s,1ei3p,PDBTfijop,PDBTvarp,,,,,
201809,30,106.68,4.493,850,0.697,150,0.822,150,1.05,150,2.802,2000,,300,,450,,150,,52.47,3.784,,,,,
201810,31,105.17,4.39,850,0.793,75,0.956,100,2.802,0,0,2000,,300,,450,,150,,52.47,3.777,,,,,
201811,30,105.64,4.521,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,52.47,3.714,,,,,
201812,31,105.82,4.601,850,0.793,75,0.956,100,2.802,0,0,2000,,75,,125,,0,,52.47,3.144,,,,,
201901,31,107.58,5.121,850,0.796,75,0.96,100,2.813,0,0,2000,,75,,125,,0,,54.25,3.176,,,,,
201902,28,107.92,4.772,850,0.799,75,0.964,100,2.824,0,0,2000,,75,,125,,0,,54.25,3.161,,,,,
201903,31,107.37,4.553,850,0.802,75,0.968,100,2.835,0,0,2000,,75,,125,,0,,54.25,3.204,,,,,
201904,30,107.31,4.428,850,0.709,150,0.834,150,1.066,150,2.846,2000,,75,,125,,0,,54.25,3.195,,,,,
201905,31,107.37,4.494,850,0.712,150,0.837,150,1.07,150,2.857,2000,,300,,450,,150,,54.25,3.239,,,,,
201906,30,107.13,4.493,850,0.715,150,0.84,150,1.074,150,2.868,2000,,300,,450,,150,,54.25,3.248,,,,,
201907,31,107.33,4.485,850,0.718,150,0.843,150,1.078,150,2.879,2000,,300,,450,,150,,54.25,3.253,,,,,
201908,31,107.91,4.487,850,0.721,150,0.846,150,1.082,150,2.89,2000,,300,,450,,150,,54.25,3.235,,,,,
201909,30,107.74,4.868,850,0.724,150,0.849,150,1.086,150,2.901,2000,,300,,450,,150,,54.25,3.186,,,,,
201910,31,108.52,4.262,850,0.823,75,0.996,100,2.912,0,0,2000,,300,,450,,150,,54.25,3.138,,,,,
201911,30,108.79,4.309,850,0.826,75,1,100,2.923,0,0,2000,,75,,125,,0,,54.25,3.136,,,,,
201912,31,108.35,4.21,850,0.829,75,1.004,100,2.934,0,0,2000,,75,,125,,0,,54.25,3.135,,,,,
202001,31,108.11,4.094,850,0.831,75,1.006,100,2.941,0,0,2000,,,,,,,,55.88,3.194,,,,,
202002,28,108.02,4.074,850,0.833,75,1.008,100,2.948,0,0,2000,,,,,,,,55.88,3.177,,,,,
202003,31,107.77,3.987,850,0.835,75,1.01,100,2.955,0,0,2000,,,,,,,,55.88,3.191,,,,,
202004,30,108.05,3.991,850,0.741,150,0.866,150,1.11,150,2.962,2000,,,,,,,,55.88,3.205,,,,,
202005,31,111.89,3.985,850,0.743,150,0.868,150,1.113,150,2.969,2000,,,,,,,,55.88,3.182,,,,,
202006,30,116.09,4.157,850,0.745,150,0.87,150,1.116,150,2.976,2000,,,,,,,,55.88,3.161,,,,,
202007,31,115.1,4.255,850,0.748,150,0.873,150,1.119,150,2.979,2000,,,,,,,,55.88,3.108,,,,,
202008,31,113.12,4.151,850,0.749,150,0.874,150,1.122,150,2.99,2000,,,,,,,,55.88,3.076,,,,,
202009,30,114.44,4.265,850,0.751,150,0.876,150,1.125,150,2.997,2000,,,,,,,,55.88,3.016,,,,,
202010,31,114.97,4.415,850,0.849,75,1.025,100,3.004,0,0,2000,,,,,,,,55.88,3.017,,,,,
202011,30,114.36,4.35,850,0.851,75,1.028,100,3.011,0,0,2000,,,,,,,,55.88,3.018,,,,,
202012,31,114.33,4.531,850,0.853,75,1.031,100,3.018,0,0,2000,,,,,,,,55.8,3.014,,,,,
202101,31,113.7,4.471,850,0.855,75,1.034,100,3.026,0,0,,,,,,,,,57.56,3.085,,,,,
202102,28,113.22,4.435,850,0.857,75,1.037,100,3.034,0,0,,,,,,,,,57.56,3.099,,,,,
202103,31,115,4.4,850,0.859,75,1.04,100,3.042,0,0,,,,,,,,,57.56,3.103,,,,,
202104,30,115,4.4,850,0.765,150,0.89,150,1.146,150,3.05,,,,,,,,,57.56,3.181,,,,,
202105,31,115,4.4,850,0.767,150,0.892,150,1.149,150,3.058,,,,,,,,,57.56,3.193,,,,,
202106,30,115,4.4,850,0.769,150,0.894,150,1.152,150,3.066,,,,,,,,,57.56,3.276,,,,,
202107,31,115,4.4,850,0.771,150,0.896,150,1.155,150,3.074,,,,,,,,,57.56,3.249,,,,,
202108,31,115,4.4,850,0.773,150,0.898,150,1.158,150,3.082,,,,,,,,,57.56,3.244,,,,,
202109,30,115,4.4,850,0.775,150,0.9,150,1.161,150,3.09,,,,,,,,,57.56,3.193,,,,,
202110,31,115,4.4,850,0.873,75,1.061,100,3.098,0,0,,,,,,,,,57.56,3.188,,,,,
202111,30,115,4.4,850,0.875,75,1.064,100,3.106,0,0,,,,,,,,,57.56,3.208,,,,,
202112,31,115,4.4,850,0.877,75,1.067,100,3.115,0,0,,,,,,,,,57.56,3.18,,,,,
